pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
"Co do zasady jaki skutek ma czynność prawna dokonana z naruszeniem art. 37a lub 37b, np. bez zawiadomienia nadleśniczego?","Jest ważna, ale podlega karze pieniężnej.",Jest nieważna.,Jest wzruszalna wyłącznie przez gminę.,Staje się ważna po 30 dniach.,2,"Art. 37h stanowi, że taka czynność prawna jest nieważna."
"W jaki sposób co do zasady sprzedaje się lasy, grunty i inne nieruchomości Skarbu Państwa w zarządzie Lasów Państwowych?",Wyłącznie w drodze rokowań,Wyłącznie w drodze darowizny,W drodze przetargu publicznego,W drodze decyzji administracyjnej,3,Art. 38 ust. 4 ustanawia zasadę przetargu publicznego.
"Co można zrobić, gdy dwa przetargi publiczne na sprzedaż nieruchomości Lasów Państwowych zakończą się wynikiem negatywnym?",Przekazać go automatycznie gminie.,Sprzedać bez ustalenia ceny.,Obowiązkowo zrezygnować ze sprzedaży.,Zbyć przedmiot w drodze negocjacji cenowej.,4,Art. 38 ust. 4 dopuszcza negocjacje cenowe po dwóch negatywnych przetargach.
Komu przysługuje prawo pierwokupu przy sprzedaży określonych nieruchomości Lasów Państwowych położonych w granicach administracyjnych miasta?,Gminie,Powiatowi,Wojewodzie,Nadleśniczemu,1,Art. 38 ust. 5 przyznaje gminie prawo pierwokupu.
"Jaką maksymalną powierzchnię może mieć enklawa, którą nadleśniczy może samodzielnie sprzedać na podstawie art. 38 ust. 3?","Do 0,10 ha",Do 1 ha,Do 5 ha,Do 10 ha,2,Art. 38 ust. 3 pozwala nadleśniczemu samodzielnie sprzedać taką enklawę do 1 ha.
Kto może obciążyć nieruchomość Lasów Państwowych służebnością drogową lub przesyłu?,Wójt,Starosta,Nadleśniczy za zgodą dyrektora regionalnej dyrekcji Lasów Państwowych.,Dyrektor Generalny bez udziału nadleśniczego,3,Art. 39a ust. 1 przewiduje takie uprawnienie nadleśniczego za zgodą dyrektora regionalnej dyrekcji.
Jaka jest maksymalna roczna stawka za zajęcie 1 m² nieruchomości przez infrastrukturę telekomunikacyjną na podstawie art. 39b?,1 zł,5 zł,10 zł,"2,5 zł",4,"Art. 39b ust. 5 ogranicza stawkę do 2,5 zł za 1 m² rocznie."
Kiedy może nie być pobierana opłata za umieszczenie infrastruktury telekomunikacyjnej na nieruchomości Lasów Państwowych?,M.in. gdy przedsiębiorca zapewnia szerokopasmowy Internet o przepustowości co najmniej 30 Mb/s w zarządzanych budynkach lub obiektach.,Wyłącznie gdy infrastruktura ma mniej niż 100 m.,Zawsze dla każdego przedsiębiorcy.,Tylko gdy wyrazi zgodę starosta.,1,Art. 39b ust. 6 przewiduje m.in. zwolnienie związane z zapewnieniem dostępu o przepustowości co najmniej 30 Mb/s.
"Kto może przekazać lasy i nieruchomości w użytkowanie bez zmiany ich przeznaczenia, np. ze względów obronności, nauki lub ochrony przyrody (art. 40)?",Starosta,Dyrektor Generalny Lasów Państwowych,Wójt,Wojewoda,2,Art. 40 przyznaje takie uprawnienie Dyrektorowi Generalnemu.
Jaka jest maksymalna łączna obniżka ceny lokalu dla uprawnionych pracowników i byłych pracowników Lasów Państwowych?,50%,75%,95%,90%,3,Art. 40a ust. 4 przewiduje łączną obniżkę nie większą niż 95%.
Na ile maksymalnie rat miesięcznych może zostać rozłożona należność za lokal sprzedawany uprawnionemu pracownikowi lub byłemu pracownikowi Lasów Państwowych?,24 raty,36 rat,120 rat,60 rat,4,Art. 40a ust. 4 pozwala rozłożyć należność na 60 rat miesięcznych.
Jaka jest cena nabycia lokalu dla uprawnionego emeryta lub rencisty według art. 40a ust. 4?,5% jego wartości,10% jego wartości,25% jego wartości,50% jego wartości,1,Art. 40a ust. 4 ustala cenę dla emeryta lub rencisty na 5% wartości lokalu.
Po jakim okresie może powstać obowiązek zwrotu bonifikaty przy zbyciu lokalu nabytego od Lasów Państwowych?,Przed upływem 1 roku.,"Jeżeli lokal zostanie zbyty lub wykorzystany na inne cele niż mieszkalne przed upływem 5 lat, z ustawowym wyjątkiem.",Przed upływem 10 lat bez wyjątków.,Bonifikaty nigdy nie podlegają zwrotowi.,2,"Art. 40a ust. 5b wiąże obowiązek zwrotu bonifikaty z okresem 5 lat, z wyjątkiem zbycia na rzecz osoby bliskiej."
Jaki limit łącznej kwoty kredytów Lasów Państwowych na dany rok przewiduje art. 41?,10%,50%,30% wartości sprzedaży Lasów Państwowych roku poprzedniego,100%,3,Art. 41 ust. 2 ogranicza sumę kredytów do 30% wartości sprzedaży z roku poprzedniego.
Czy lasy Skarbu Państwa w zarządzie Lasów Państwowych mogą być wkładem niepieniężnym do spółek tworzonych lub współtworzonych przez Dyrektora Generalnego?,"Tak, bez ograniczeń.","Tak, za zgodą starosty.","Tak, wyłącznie do spółek akcyjnych.",Nie,4,Art. 42 ust. 2 zakazuje wnoszenia takich lasów jako wkładu niepieniężnego do spółek.
Jaki minimalny wiek musi mieć pracownik Służby Leśnej?,21 lat,18 lat,20 lat,25 lat,1,Art. 45 ust. 2 wymaga ukończenia 21 lat.
Czy pracownik Służby Leśnej musi być zatrudniony w pełnym wymiarze czasu pracy?,Nie,Tak,Tylko strażnik leśny,Tylko nadleśniczy,2,Art. 45 ust. 2 wymaga zatrudnienia w pełnym wymiarze czasu pracy.
Z jakiej ochrony prawnej korzystają pracownicy Służby Leśnej przy wykonywaniu czynności służbowych?,Wyłącznie z ochrony pracowniczej.,Z immunitetu parlamentarnego.,Z ochrony przewidzianej w prawie karnym dla funkcjonariuszy publicznych.,Z ochrony przysługującej sędziom.,3,Art. 46 ust. 1 przyznaje im ochronę prawną przewidzianą dla funkcjonariuszy publicznych.
Jaki jest maksymalny jednorazowy wymiar płatnego urlopu dla poratowania zdrowia pracownika Służby Leśnej?,1 miesiąc,3 miesiące,12 miesięcy,6 miesięcy,4,Art. 46 ust. 1 pkt 3 przewiduje maksymalnie sześć miesięcy.
Jaki minimalny staż pracy w Lasach Państwowych jest wymagany do płatnego urlopu dla poratowania zdrowia?,3 lata w pełnym wymiarze czasu pracy,1 rok,5 lat,10 lat,1,Art. 46 ust. 1 pkt 3 wymaga co najmniej trzech lat pracy w pełnym wymiarze.
Jaka odprawa przysługuje przy przejściu na emeryturę pracownikowi Służby Leśnej po ponad 20 latach pracy w Lasach Państwowych?,Dwukrotność,Sześciokrotność wynagrodzenia za ostatni miesiąc zatrudnienia,Trzykrotność,Dwunastokrotność,2,Art. 46 ust. 1 pkt 5 przewiduje po ponad 20 latach pracy sześciokrotność ostatniego wynagrodzenia.
Kto kieruje Strażą Leśną?,Minister właściwy do spraw wewnętrznych,Komendant Główny Policji,Główny Inspektor Straży Leśnej,Starosta,3,"Art. 47 ust. 1a stanowi, że Strażą Leśną kieruje Główny Inspektor Straży Leśnej."
Komu podporządkowany jest Główny Inspektor Straży Leśnej?,Ministrowi właściwemu do spraw wewnętrznych,Komendantowi Głównemu Policji,Wojewodzie,Dyrektorowi Generalnemu Lasów Państwowych,4,Art. 47 ust. 1a podporządkowuje Głównego Inspektora Dyrektorowi Generalnemu.
Która jednostka Straży Leśnej działa w nadleśnictwie?,Posterunek,Komenda powiatowa,Inspektorat wojewódzki,Oddział graniczny,1,Art. 47 ust. 1b wskazuje posterunki w nadleśnictwach.
Czy strażnik leśny może legitymować osobę podejrzaną o popełnienie przestępstwa lub wykroczenia?,Nie,Tak,Tylko za zgodą Policji,Tylko na podstawie nakazu sądu,2,Art. 47 ust. 2 pkt 1 przyznaje strażnikowi leśnemu prawo legitymowania takich osób.
Czy strażnik leśny może nakładać grzywny w drodze mandatu karnego?,"Nie, nigdy.","Tak, bez żadnych ograniczeń.","Tak, w sprawach i zakresie określonych odrębnymi przepisami.","Tak, ale wyłącznie za zgodą starosty.",3,Art. 47 ust. 2 pkt 2 przewiduje możliwość nakładania i pobierania grzywien mandatowych.
Czy strażnik leśny może ująć na gorącym uczynku sprawcę przestępstwa lub wykroczenia i doprowadzić go do Policji?,Nie,Tylko za zgodą prokuratora,Tylko w przypadku kradzieży drewna,Tak,4,Art. 47 ust. 2 pkt 5 przyznaje takie uprawnienie.
Czy strażnik leśny może kontrolować podmioty zajmujące się obrotem i przetwarzaniem drewna w celu sprawdzenia legalności pochodzenia surowca?,Tak,Nie,Tylko na podstawie decyzji starosty,Wyłącznie wspólnie z Inspekcją Handlową,1,Art. 47 ust. 2b przyznaje strażnikom leśnym takie uprawnienie kontrolne.
Komu przysługuje zażalenie na sposób przeprowadzenia czynności związanych z użyciem środków przymusu bezpośredniego przez strażnika leśnego?,Do wójta,Do prokuratora,Do starosty,Do rady gminy,2,Art. 47 ust. 3b przewiduje zażalenie do prokuratora.
"Którym pracownikom, poza strażnikami leśnymi, przysługują określone uprawnienia w zakresie zwalczania szkodnictwa leśnego?",Wyłącznie pracownikom urzędu gminy.,Wyłącznie wojewodzie.,"M.in. nadleśniczemu, zastępcy nadleśniczego, inżynierowi nadzoru, leśniczemu i podleśniczemu.",Każdemu pracownikowi Lasów Państwowych bez względu na stanowisko.,3,Art. 48 rozszerza wskazane uprawnienia na wymienione stanowiska.
Na jakiej zasadzie Lasy Państwowe prowadzą działalność finansową?,Wyłącznie z dotacji budżetu państwa.,Wyłącznie z budżetów gmin.,Na zasadzie finansowania przez wojewodów.,"Na zasadzie samodzielności finansowej, pokrywając koszty z własnych przychodów.",4,Art. 50 ust. 1 ustanawia samodzielność finansową Lasów Państwowych.
Jaki jest rok obrachunkowy w Lasach Państwowych?,Rok kalendarzowy,Rok szkolny,Rok gospodarczy od lipca do czerwca,Dowolny okres 12 miesięcy ustalony przez Dyrektora Generalnego,1,"Art. 51 stanowi, że rokiem obrachunkowym jest rok kalendarzowy."
Jakie dokumenty Lasy Państwowe sporządzają corocznie na podstawie art. 52?,Wyłącznie bilans sprzedaży drewna.,Raport o stanie lasów oraz sprawozdanie finansowo-gospodarcze.,Wyłącznie raport o stanie lasów prywatnych.,Miejscowy plan zagospodarowania przestrzennego.,2,Art. 52 ust. 1 wymienia raport o stanie lasów i sprawozdanie finansowo-gospodarcze.
Kto przedkłada Sejmowi informację o stanie lasów i realizacji krajowego programu zwiększania lesistości?,Dyrektor Generalny Lasów Państwowych,Starosta,Rada Ministrów,Minister właściwy do spraw rolnictwa samodzielnie,3,Art. 52 ust. 2 powierza to Radzie Ministrów.
Kto dysponuje środkami funduszu leśnego?,Minister Finansów,Starosta,Każdy nadleśniczy niezależnie,Dyrektor Generalny Lasów Państwowych,4,"Art. 56 ust. 2 stanowi, że środkami funduszu leśnego dysponuje Dyrektor Generalny."
Co stanowi jedno ze źródeł funduszu leśnego?,Odpis podstawowy liczony od wartości sprzedaży drewna.,Podatek od nieruchomości wszystkich mieszkańców gmin.,Opłata skarbowa od decyzji starosty.,Wyłącznie dotacje Unii Europejskiej.,1,Art. 57 ust. 1 pkt 1 wymienia odpis podstawowy od wartości sprzedaży drewna.
Co dzieje się ze środkami funduszu leśnego niewykorzystanymi w danym roku?,Przepadają.,Stanowią dochód funduszu w następnym roku kalendarzowym.,Są zwracane do budżetu gminy.,Są dzielone między pracowników.,2,Art. 57 ust. 3 przenosi niewykorzystane środki na następny rok jako dochód funduszu.
Na jaki podstawowy cel przeznacza się środki funduszu leśnego dla nadleśnictw?,Wyłącznie na premie pracowników.,Wyłącznie na budowę dróg publicznych.,Na wyrównywanie niedoborów powstających przy realizacji zadań gospodarki leśnej i administracji publicznej w zakresie leśnictwa.,Wyłącznie na zakup gruntów rolnych.,3,Art. 58 ust. 1 przewiduje wyrównywanie niedoborów związanych z tymi zadaniami.
Czy środki funduszu leśnego mogą być przeznaczane na badania naukowe?,Nie,Tylko po zgodzie Sejmu,Wyłącznie na badania medyczne,Tak,4,Art. 58 ust. 2 wymienia badania naukowe jako jeden z możliwych celów funduszu.
Kto może utworzyć fundusz stabilizacji z wydzielonej części środków funduszu leśnego?,Dyrektor Generalny Lasów Państwowych,Starosta,Rada Ministrów,Wójt,1,Art. 58 ust. 4 przyznaje to uprawnienie Dyrektorowi Generalnemu.
Jaka kara grozi za przywóz produktów z drewna z państw partnerskich bez wymaganego zezwolenia FLEGT?,Stała kara 5000 zł.,Administracyjna kara pieniężna w wysokości dwukrotnej wartości celnej produktów.,Kara w wysokości 10% wartości produktów.,Wyłącznie pouczenie.,2,Art. 66a przewiduje karę równą dwukrotnej wartości celnej produktów.
Jaki jest zakres administracyjnej kary pieniężnej za wprowadzenie do obrotu nielegalnie pozyskanego drewna lub produktów z drewna?,Od 500 zł do 5000 zł,Od 5000 zł do 20 000 zł,Od 20 000 zł do 500 000 zł,Od 100 000 zł do 1 000 000 zł,3,Art. 66b przewiduje karę od 20 000 zł do 500 000 zł.
Jaki jest zakres kary za niestosowanie wymaganych środków dostępu do informacji oraz procedur oceny i ograniczania ryzyka przy wprowadzaniu drewna do obrotu (art. 66c)?,Od 500 zł do 5000 zł,Od 20 000 zł do 50 000 zł,Od 100 000 zł do 1 000 000 zł,Od 5000 zł do 500 000 zł,4,Art. 66c przewiduje karę od 5000 zł do 500 000 zł.
Przez jaki minimalny okres należy przechowywać informacje pozwalające zidentyfikować dostawców i odbiorców drewna w przypadkach objętych art. 66e?,5 lat,1 rok,3 lata,10 lat,1,Art. 66e ust. 1 wskazuje okres co najmniej 5 lat.
Jaki jest zakres kary za nieprzechowywanie lub nieprzekazanie informacji pozwalających zidentyfikować dostawców i odbiorców drewna (art. 66e)?,Od 500 zł do 5000 zł,Od 5000 zł do 20 000 zł,Od 20 000 zł do 500 000 zł,Od 100 000 zł do 1 000 000 zł,2,Art. 66e przewiduje administracyjną karę pieniężną od 5000 zł do 20 000 zł.
Kto wymierza karę z art. 66a dotyczącą przywozu produktów bez zezwolenia FLEGT?,Wojewódzki inspektor ochrony środowiska,Starosta,Właściwy naczelnik urzędu celno-skarbowego,Nadleśniczy,3,Art. 66f ust. 1 pkt 1 powierza wymierzenie tej kary naczelnikowi urzędu celno-skarbowego.
"Kto wymierza administracyjne kary pieniężne za wprowadzanie nielegalnego drewna do obrotu, brak należytej staranności lub naruszenie obowiązków informacyjnych (art. 66b–66e)?",Starosta,Nadleśniczy,Minister Finansów,Właściwy wojewódzki inspektor ochrony środowiska,4,Art. 66f ust. 1 pkt 2 wskazuje wojewódzkiego inspektora ochrony środowiska.
"Kiedy organ odstępuje od kary za wprowadzanie nielegalnego drewna do obrotu, brak należytej staranności lub naruszenie obowiązków informacyjnych (art. 66b–66e)?","Gdy naruszenie nastąpiło wskutek zdarzeń lub okoliczności, którym podmiot nie mógł zapobiec.",Zawsze przy pierwszym naruszeniu.,Gdy podmiot jest osobą fizyczną.,Gdy wartość drewna nie przekracza 1000 zł.,1,"Art. 66f ust. 3 przewiduje odstąpienie, gdy podmiot nie mógł zapobiec zdarzeniom lub okolicznościom powodującym naruszenie."
Po jakim czasie od popełnienia naruszenia nie można nałożyć administracyjnej kary pieniężnej z rozdziału 9a?,Po 1 roku,Po 3 latach,Po 5 latach,Po 10 latach,2,Art. 66f ust. 4 ustanawia trzyletni termin.
W jakim terminie należy uiścić administracyjną karę pieniężną po ostateczności decyzji?,7 dni,30 dni,14 dni,60 dni,3,Art. 66g ust. 1 przewiduje termin 14 dni.
Co stanowią wpływy z administracyjnych kar pieniężnych przewidzianych w rozdziale 9a?,Dochód gminy,Dochód funduszu leśnego,Dochód nadleśnictwa,Dochód budżetu państwa,4,"Art. 66g ust. 2 stanowi, że wpływy z tych kar są dochodem budżetu państwa."
Kiedy ustawa o lasach weszła w życie?,1 stycznia 1992 r.,28 września 1991 r.,1 stycznia 1991 r.,16 kwietnia 2004 r.,1,"Art. 82 stanowi, że ustawa weszła w życie 1 stycznia 1992 r."
