pytanie,odpowiedz 1,odpowiedz 2,odpowiedz 3,odpowiedz 4,poprawna,opis
Kto jest co do zasady właściwy w strategicznej OOŚ dla dokumentów innych niż opracowywane przez naczelne lub centralne organy administracji rządowej?,Generalny Dyrektor Ochrony Środowiska,Regionalny dyrektor ochrony środowiska,WIOŚ,Minister finansów,2,Art. 57 ust. 1 pkt 2 wskazuje RDOŚ.
"Jaki organ jest dodatkowo właściwy, gdy realizacja dokumentu dotyczy obszarów morskich?",Starosta,Dyrektor parku narodowego,Dyrektor urzędu morskiego,Wójt,3,Art. 57 ust. 2 wskazuje również dyrektora urzędu morskiego.
"Kto jest właściwy w strategicznej OOŚ, gdy dokument obejmuje obszar więcej niż dwóch województw?",RDOŚ województwa o największej powierzchni,Marszałek województwa,Główny Inspektor Ochrony Środowiska,Generalny Dyrektor Ochrony Środowiska,4,Art. 57 ust. 4 przewiduje właściwość GDOŚ.
Który organ Państwowej Inspekcji Sanitarnej jest właściwy dla dokumentów opracowywanych przez naczelne lub centralne organy administracji rządowej?,Główny Inspektor Sanitarny,Państwowy powiatowy inspektor sanitarny,Państwowy graniczny inspektor sanitarny,WIOŚ,1,Art. 58 ust. 1 pkt 1 wskazuje Głównego Inspektora Sanitarnego.
Który organ sanitarny jest właściwy dla miejscowych planów zagospodarowania przestrzennego oraz planów ogólnych gmin?,Główny Inspektor Sanitarny,Państwowy powiatowy inspektor sanitarny,Państwowy wojewódzki inspektor sanitarny,Minister zdrowia,2,Art. 58 ust. 1 pkt 3 wskazuje państwowego powiatowego inspektora sanitarnego.
Dla jakiego planowanego przedsięwzięcia OOŚ jest wymagana z mocy art. 59 ust. 1 pkt 1?,Każdego przedsięwzięcia budowlanego,Wyłącznie przedsięwzięcia komunalnego,Przedsięwzięcia mogącego zawsze znacząco oddziaływać na środowisko,Tylko przedsięwzięcia na Natura 2000,3,Art. 59 ust. 1 pkt 1 obejmuje przedsięwzięcia mogące zawsze znacząco oddziaływać na środowisko.
Kiedy przedsięwzięcie mogące potencjalnie znacząco oddziaływać na środowisko wymaga OOŚ?,Zawsze automatycznie,Nigdy,Tylko po rozpoczęciu robót,Gdy obowiązek OOŚ zostanie stwierdzony na podstawie art. 63 ust. 1 albo zachodzi wskazany w ustawie przypadek wniosku inwestora,4,Art. 59 ust. 1 pkt 2 uzależnia OOŚ od stwierdzenia obowiązku lub szczególnego wniosku inwestora.
Czy przedsięwzięcie inne niż znacząco oddziałujące może wymagać oceny na obszar Natura 2000?,"Tak, gdy może znacząco oddziaływać na Natura 2000 i nie jest bezpośrednio związane z ochroną tego obszaru",Nie,Tylko jeśli jest drogą,Wyłącznie na terenie parku narodowego,1,Art. 59 ust. 2 przewiduje taką ocenę dla innych przedsięwzięć.
Co określa Rada Ministrów w sprawie kategorii przedsięwzięć podlegających OOŚ na podstawie art. 60?,Listę organizacji ekologicznych,Rodzaje przedsięwzięć mogących zawsze i potencjalnie znacząco oddziaływać na środowisko oraz przypadki zmian takich przedsięwzięć,Wysokość opłat za informacje,Skład Krajowej Komisji OOŚ,2,Art. 60 upoważnia Radę Ministrów do określenia kategorii przedsięwzięć.
Co bada się w ramach OOŚ przedsięwzięcia?,Wyłącznie opłacalność inwestycji,Tylko wpływ na zabytki,"M.in. bezpośredni i pośredni wpływ przedsięwzięcia na środowisko, zdrowie i warunki życia ludzi",Wyłącznie zgodność z podatkiem od nieruchomości,3,Art. 62 określa zakres analiz prowadzonych w ramach OOŚ.
Czy w ramach OOŚ analizuje się możliwości oraz sposoby zapobiegania i zmniejszania negatywnego oddziaływania?,Nie,Tylko na etapie eksploatacji,Wyłącznie gdy inwestycja jest publiczna,Tak,4,Art. 62 obejmuje analizę możliwości i sposobów zapobiegania oraz ograniczania negatywnych oddziaływań.
Kto stwierdza obowiązek OOŚ dla przedsięwzięcia mogącego potencjalnie znacząco oddziaływać na środowisko?,"Organ właściwy do wydania decyzji o środowiskowych uwarunkowaniach, w drodze postanowienia",Rada gminy w uchwale,WIOŚ w decyzji,Sąd administracyjny,1,Art. 63 przewiduje postanowienie organu właściwego do wydania decyzji środowiskowej.
"Czy przy stwierdzaniu obowiązku OOŚ bierze się pod uwagę rodzaj, cechy i skalę przedsięwzięcia?",Nie,Tak,Wyłącznie koszt przedsięwzięcia,Tylko liczbę stron postępowania,2,Art. 63 ust. 1 wymaga uwzględnienia cech przedsięwzięcia i innych ustawowych uwarunkowań.
Kiedy obowiązek OOŚ dla przedsięwzięcia potencjalnie znaczącego stwierdza się obligatoryjnie?,Zawsze dla każdego domu jednorodzinnego,Tylko na wniosek wójta,M.in. gdy możliwość realizacji zależy od ustanowienia obszaru ograniczonego użytkowania,Wyłącznie gdy brak planu miejscowego,3,Art. 63 ust. 3 przewiduje obligatoryjną OOŚ m.in. w takim przypadku.
Co organ robi po stwierdzeniu obowiązku OOŚ i konieczności przedłożenia raportu?,Umarza postępowanie,Wydaje od razu decyzję pozytywną,Przekazuje sprawę do sądu,Zawiesza postępowanie w sprawie decyzji środowiskowej do czasu przedłożenia raportu,4,Art. 63 ust. 5 przewiduje zawieszenie postępowania.
W jakim terminie wydaje się opinie i uzgodnienia dotyczące potrzeby OOŚ na podstawie art. 64?,14 dni od otrzymania wniosku o opinię,7 dni,30 dni,60 dni,1,Art. 64 ust. 4 przewiduje termin 14 dni.
W jakim terminie wydaje się postanowienie o obowiązku przeprowadzenia OOŚ dla przedsięwzięcia mogącego potencjalnie znacząco oddziaływać na środowisko (art. 63 ust. 1)?,7 dni,30 dni od wszczęcia postępowania w sprawie decyzji środowiskowej,14 dni,60 dni,2,Art. 65 ust. 1 przewiduje termin 30 dni.
Czy na postanowienie o obowiązku przeprowadzenia OOŚ dla przedsięwzięcia mogącego potencjalnie znacząco oddziaływać na środowisko (art. 63 ust. 1) przysługuje zażalenie?,Nie,Tylko organizacji ekologicznej,Tak,Wyłącznie inwestorowi publicznemu,3,Art. 65 ust. 2 wprost przewiduje zażalenie.
Czy raport OOŚ powinien zawierać opis planowanego przedsięwzięcia?,Nie,Tylko na wniosek RDOŚ,Wyłącznie dla inwestycji drogowych,Tak,4,Art. 66 ust. 1 wymienia opis przedsięwzięcia jako podstawowy element raportu.
"Czy raport OOŚ powinien zawierać wyniki inwentaryzacji przyrodniczej, jeżeli została przeprowadzona?","Tak, w formie opisowej i kartograficznej wraz z metodyką",Nie,Wyłącznie w formie tabeli,Tylko gdy dotyczy parku narodowego,1,"Art. 66 przewiduje taki załącznik do raportu, jeżeli inwentaryzacja została przeprowadzona."
Czy raport powinien opisywać skutki dla środowiska w przypadku niepodejmowania przedsięwzięcia?,Nie,Tak,Tylko w przypadku drogi,Wyłącznie gdy żąda tego inwestor,2,Art. 66 nakazuje opisać przewidywane skutki wariantu braku realizacji przedsięwzięcia.
Ile rodzajów wariantów co najmniej wskazuje art. 66 przy opisie wariantów przedsięwzięcia?,Tylko jeden wariant inwestora,Wyłącznie dwa warianty kosztowe,"Wariant wybrany, racjonalny wariant alternatywny oraz racjonalny wariant najkorzystniejszy dla środowiska",Cztery obowiązkowe warianty technologiczne,3,Art. 66 wymaga wskazania tych wariantów.
Czy racjonalny wariant najkorzystniejszy dla środowiska może być tożsamy z wariantem wybranym do realizacji?,Nie,Tylko za zgodą RDOŚ,Wyłącznie dla inwestycji publicznych,Tak,4,Art. 66 dopuszcza taką tożsamość wariantów.
Czy raport OOŚ powinien zawierać opis metod prognozowania?,Tak,Nie,Tylko przy oddziaływaniu transgranicznym,Wyłącznie dla elektrowni,1,Art. 66 wymaga opisu metod prognozowania zastosowanych przez wnioskodawcę.
"Czy raport powinien zawierać opis działań służących unikaniu, zapobieganiu, ograniczaniu lub kompensowaniu negatywnych oddziaływań?",Nie,Tak,Wyłącznie po wydaniu decyzji,Tylko dla obszaru Natura 2000,2,Art. 66 wymaga wskazania takich działań wraz z oceną ich skuteczności.
"Czy raport powinien wskazywać, czy konieczne jest ustanowienie obszaru ograniczonego użytkowania?",Nie,Tylko po zakończeniu inwestycji,"Tak, w przypadkach objętych ustawowym zakresem raportu",Wyłącznie gdy wnioskodawcą jest gmina,3,Art. 66 przewiduje wskazanie potrzeby ustanowienia obszaru ograniczonego użytkowania.
Czy wnioskodawca przedsięwzięcia mogącego zawsze znacząco oddziaływać może zamiast raportu złożyć kartę informacyjną wraz z wnioskiem o ustalenie zakresu raportu?,Nie,Tylko po wydaniu decyzji,Wyłącznie dla inwestycji prywatnych,Tak,4,Art. 69 ust. 1 dopuszcza taki tryb.
Kiedy ustalenie zakresu raportu jest obowiązkowe?,Gdy przedsięwzięcie może transgranicznie oddziaływać na środowisko,Dla każdego przedsięwzięcia,Wyłącznie gdy inwestor jest zagraniczny,Tylko przy braku planu miejscowego,1,Art. 69 ust. 2 przewiduje obowiązek ustalenia zakresu raportu przy możliwym oddziaływaniu transgranicznym.
W jakim terminie wydaje się opinie dotyczące zakresu raportu na podstawie art. 70?,7 dni,14 dni od otrzymania dokumentów,30 dni,60 dni,2,Art. 70 ust. 3 przewiduje termin 14 dni.
Co określa decyzja o środowiskowych uwarunkowaniach?,Prawo własności do gruntu,Wysokość podatku od nieruchomości,Środowiskowe uwarunkowania realizacji przedsięwzięcia,Pozwolenie na użytkowanie obiektu,3,Art. 71 ust. 1 określa funkcję decyzji środowiskowej.
Dla jakich przedsięwzięć wymaga się decyzji o środowiskowych uwarunkowaniach?,Wyłącznie dla przedsięwzięć mogących zawsze znacząco oddziaływać,Dla każdej inwestycji budowlanej,Tylko dla przedsięwzięć na Natura 2000,Dla przedsięwzięć mogących zawsze oraz potencjalnie znacząco oddziaływać na środowisko,4,Art. 71 ust. 2 obejmuje obie kategorie przedsięwzięć.
Kto co do zasady wszczyna postępowanie o wydanie decyzji środowiskowej?,"Podmiot planujący realizację przedsięwzięcia, składając wniosek",WIOŚ z urzędu,Rada gminy w uchwale,Organ podatkowy,1,Art. 73 ust. 1 przewiduje wszczęcie na wniosek podmiotu planującego przedsięwzięcie.
W jakiej postaci można złożyć wniosek o decyzję środowiskową?,Wyłącznie papierowej,Papierowej albo w formie dokumentu elektronicznego,Wyłącznie elektronicznej,Wyłącznie ustnie do protokołu,2,Art. 73 ust. 1a dopuszcza postać papierową i dokument elektroniczny.
Co dołącza się do wniosku dla przedsięwzięcia mogącego zawsze znacząco oddziaływać na środowisko?,Wyłącznie mapę ewidencyjną,Tylko opinię WIOŚ,"Raport OOŚ, a w trybie ustalania zakresu raportu – kartę informacyjną przedsięwzięcia",Wyłącznie zgodę właściciela nieruchomości,3,Art. 74 ust. 1 pkt 1 określa te dokumenty.
Co dołącza się do wniosku dla przedsięwzięcia mogącego potencjalnie znacząco oddziaływać na środowisko?,Zawsze pełny raport OOŚ,Wyłącznie prognozę strategiczną,Tylko decyzję o warunkach zabudowy,Co do zasady kartę informacyjną przedsięwzięcia,4,Art. 74 ust. 1 pkt 2 przewiduje co do zasady kartę informacyjną przedsięwzięcia.
Kto jest właściwy do wydania decyzji środowiskowej dla zmiany lasu niestanowiącego własności Skarbu Państwa na użytek rolny?,Regionalny dyrektor ochrony środowiska,Starosta,Dyrektor regionalnej dyrekcji Lasów Państwowych,Wójt,1,Art. 75 ust. 1 pkt 1 lit. d wskazuje RDOŚ.
Kto jest właściwy do wydania decyzji środowiskowej dla zmiany lasu stanowiącego własność Skarbu Państwa na użytek rolny?,Regionalny dyrektor ochrony środowiska,Dyrektor regionalnej dyrekcji Lasów Państwowych,Starosta,Wójt,2,Art. 75 ust. 1 pkt 3 wskazuje dyrektora regionalnej dyrekcji Lasów Państwowych.
"Kto jest właściwy do wydania decyzji środowiskowej w przypadku scalania, wymiany lub podziału gruntów?",Wójt,RDOŚ,Starosta,Marszałek województwa,3,Art. 75 ust. 1 pkt 2 wskazuje starostę.
Kto jest właściwy do wydania decyzji środowiskowej dla pozostałych przedsięwzięć niewymienionych w szczególnych kompetencjach art. 75 ust. 1?,Zawsze RDOŚ,WIOŚ,Minister właściwy do spraw środowiska,"Wójt, burmistrz albo prezydent miasta",4,Art. 75 ust. 1 pkt 4 przewiduje właściwość organu wykonawczego gminy.
Kto jest właściwy dla przedsięwzięcia realizowanego choćby częściowo na obszarze morskim?,Regionalny dyrektor ochrony środowiska dla całego przedsięwzięcia,Wójt właściwej gminy,Starosta,Wyłącznie dyrektor urzędu morskiego,1,Art. 75 ust. 7 przewiduje właściwość RDOŚ dla całego przedsięwzięcia.
Kto jest właściwy dla przedsięwzięcia realizowanego częściowo na terenie zamkniętym ustalonym przez Ministra Obrony Narodowej?,Wójt,Regionalny dyrektor ochrony środowiska dla całego przedsięwzięcia,Wojewoda,Minister Obrony Narodowej,2,Art. 75 ust. 6 przewiduje właściwość RDOŚ dla całego przedsięwzięcia.
W jakim terminie wydaje się opinię dotyczącą właściwości terytorialnej przy przedsięwzięciu wykraczającym poza jedną gminę lub województwo?,7 dni,14 dni,30 dni od otrzymania wniosku o opinię,60 dni,3,Art. 75 ust. 5b przewiduje termin 30 dni.
Jak traktuje się niewydanie tej opinii w terminie 30 dni?,Jako sprzeciw,Jako odmowę,Jako konieczność umorzenia postępowania,Jako brak zastrzeżeń do wniosku o wydanie decyzji środowiskowej,4,Art. 75 ust. 5b przewiduje skutek w postaci braku zastrzeżeń.
Czy przed wydaniem decyzji środowiskowej w postępowaniu z OOŚ organ zapewnia udział społeczeństwa?,Tak,Nie,Tylko na wniosek organizacji ekologicznej,Wyłącznie dla inwestycji publicznych,1,Art. 79 ust. 1 nakazuje zapewnić możliwość udziału społeczeństwa.
Jakie elementy bierze pod uwagę organ wydając decyzję środowiskową po przeprowadzeniu OOŚ?,Wyłącznie stanowisko inwestora,"M.in. wyniki uzgodnień i opinii, raport, wyniki udziału społeczeństwa oraz ewentualnego postępowania transgranicznego",Tylko zgodność podatkową,Wyłącznie opinię rady gminy,2,Art. 80 ust. 1 wskazuje te podstawowe źródła ustaleń.
"Co może zrobić organ, jeżeli OOŚ wykazuje brak możliwości realizacji wariantu proponowanego przez wnioskodawcę?",Zawsze wydać decyzję pozytywną dla wariantu inwestora,Przekazać sprawę do WIOŚ,Za zgodą wnioskodawcy wskazać w decyzji wariant dopuszczony do realizacji spośród wariantów analizowanych,Pominąć wyniki OOŚ,3,Art. 81 przewiduje możliwość wskazania innego wariantu za zgodą wnioskodawcy.
Czy decyzja środowiskowa po OOŚ określa rodzaj i miejsce realizacji przedsięwzięcia?,Nie,Wyłącznie miejsce,Wyłącznie rodzaj przedsięwzięcia,Tak,4,Art. 82 ust. 1 pkt 1 lit. a wymaga określenia rodzaju i miejsca realizacji.
Czy decyzja środowiskowa może nakładać obowiązek monitorowania oddziaływania przedsięwzięcia na środowisko?,Tak,Nie,Tylko decyzja WIOŚ może to zrobić,Wyłącznie po zakończeniu eksploatacji,1,Art. 82 pozwala nałożyć obowiązek monitorowania wraz z określeniem jego zakresu i terminu.
Czy decyzja środowiskowa może nałożyć obowiązek przedstawienia analizy porealizacyjnej?,Nie,Tak,Tylko sąd może ją nakazać,Wyłącznie dla dróg krajowych,2,Art. 82 ust. 1 pkt 5 pozwala nałożyć taki obowiązek.
Czy decyzja o środowiskowych uwarunkowaniach wymaga uzasadnienia?,Nie,Tylko gdy jest odmowna,Tak,Wyłącznie na żądanie strony,3,Art. 85 ust. 1 wymaga uzasadnienia decyzji.
Czy decyzja o środowiskowych uwarunkowaniach wiąże organy wydające późniejsze decyzje inwestycyjne wskazane w ustawie?,Nie,Tylko przez 30 dni,Wyłącznie organy gminy,Tak,4,Art. 86 stanowi o związaniu właściwych organów decyzją środowiskową.
Czy OOŚ może być przeprowadzana ponownie na etapie wydawania określonych decyzji inwestycyjnych?,Tak,Nie,Tylko na wniosek organizacji ekologicznej,Wyłącznie po zakończeniu inwestycji,1,Rozdział 4 działu V przewiduje ponowne przeprowadzenie OOŚ w przypadkach określonych w art. 88.
Kto co do zasady uzgadnia warunki realizacji przedsięwzięcia w ramach ponownej OOŚ?,Wójt,Regionalny dyrektor ochrony środowiska,WIOŚ,Starosta,2,Art. 90 przewiduje uzgodnienie warunków realizacji przedsięwzięcia przez RDOŚ.
Czy postanowienie określające warunki realizacji przedsięwzięcia po ponownej OOŚ wiąże organ wydający decyzję inwestycyjną?,Nie,Tylko jeśli inwestor wyrazi zgodę,Tak,Wyłącznie przez rok,3,"Art. 92 stanowi, że postanowienie wiąże organ właściwy do wydania decyzji."
Jaki organ bada możliwość znaczącego oddziaływania przedsięwzięcia na obszar Natura 2000 w trybie art. 96–97?,Wójt,Starosta,WIOŚ,Regionalny dyrektor ochrony środowiska,4,Art. 97 przewiduje rozstrzygnięcie RDOŚ w sprawie obowiązku oceny na obszar Natura 2000.
W jakiej formie RDOŚ stwierdza obowiązek przeprowadzenia oceny oddziaływania na obszar Natura 2000?,W drodze postanowienia,W drodze uchwały,Ustnie,W formie zarządzenia porządkowego,1,Art. 97 ust. 1 przewiduje postanowienie.
Czy po ocenie na obszar Natura 2000 właściwy organ musi uwzględnić warunki określone przez RDOŚ?,Nie,Tak,Tylko przy inwestycji publicznej,Wyłącznie gdy dotyczy parku narodowego,2,"Art. 100 stanowi, że postanowienie RDOŚ wiąże organ właściwy do wydania decyzji."
Czy analiza porealizacyjna po ocenie na Natura 2000 może służyć porównaniu rzeczywistego oddziaływania z ustaleniami przyjętymi w postępowaniu?,Nie,Wyłącznie do kontroli kosztów,Tak,Tylko dla inwestycji drogowych,3,Art. 102 określa analizę porealizacyjną jako narzędzie weryfikacji oddziaływania na obszar Natura 2000.
W ramach czego może być prowadzone postępowanie dotyczące transgranicznego oddziaływania na środowisko?,Wyłącznie postępowania karnego,Tylko kontroli WIOŚ,Wyłącznie postępowania podatkowego,"M.in. OOŚ przedsięwzięcia, strategicznej OOŚ i oceny oddziaływania na Natura 2000",4,"Art. 104 wymienia postępowania środowiskowe, w ramach których prowadzi się procedurę transgraniczną."
"Czy postępowanie transgraniczne prowadzi się także wtedy, gdy możliwe oddziaływanie występuje na terytorium państwa niebędącego członkiem UE?","Tak, jeżeli wynika to z umowy międzynarodowej i umowa nie stanowi inaczej","Nie, nigdy","Tak, bez żadnej podstawy traktatowej",Tylko za zgodą Komisji Europejskiej,1,Art. 106 przewiduje stosowanie przepisów wobec państw spoza UE w zakresie wynikającym z umowy międzynarodowej.
"Kto pośredniczy w konsultacjach z państwem, na którego terytorium może oddziaływać przedsięwzięcie?",Wójt,Generalny Dyrektor Ochrony Środowiska,Starosta,WIOŚ,2,Art. 110 przewiduje prowadzenie konsultacji za pośrednictwem GDOŚ.
Czy GDOŚ może przejąć prowadzenie konsultacji transgranicznych?,Nie,Tylko na wniosek inwestora,"Tak, gdy uzna to za celowe ze względu na wagę lub zawiłość sprawy",Wyłącznie po zgodzie sądu,3,Art. 110 ust. 2 pozwala GDOŚ przejąć prowadzenie konsultacji.
Kiedy wydaje się decyzję środowiskową w sprawie objętej konsultacjami transgranicznymi?,Przed rozpoczęciem konsultacji,Niezależnie od konsultacji,Wyłącznie po 6 miesiącach,Po zakończeniu konsultacji,4,Art. 111 ust. 3 przewiduje wydanie decyzji po zakończeniu konsultacji.
"Kto informuje GDOŚ o możliwości znaczącego transgranicznego oddziaływania projektu polityki, strategii, planu lub programu?",Organ administracji opracowujący projekt,WIOŚ,Wójt każdej gminy w kraju,Sąd administracyjny,1,Art. 113 ust. 1 nakłada ten obowiązek na organ opracowujący projekt.
W jakim języku sporządza się część projektu dokumentu i prognozy umożliwiającą drugiemu państwu ocenę oddziaływania?,Wyłącznie po polsku,W języku tego państwa,Wyłącznie po angielsku,W dowolnym języku UE,2,"Art. 113 ust. 2 przewiduje język państwa, na którego terytorium może wystąpić oddziaływanie."
Czy dokument poddany transgranicznej strategicznej OOŚ powinien zostać przyjęty przed zakończeniem postępowania transgranicznego?,"Tak, zawsze",Tylko gdy chodzi o dokument gminny,Nie powinien,Wyłącznie za zgodą inwestora,3,"Art. 116 ust. 2 stanowi, że przyjęcie dokumentu nie powinno nastąpić przed zakończeniem postępowania."
Kto po otrzymaniu zagranicznych dokumentów o możliwym oddziaływaniu na Polskę przekazuje je właściwemu RDOŚ?,Minister finansów,Wójt,WIOŚ,Generalny Dyrektor Ochrony Środowiska,4,Art. 118 ust. 1 nakłada ten obowiązek na GDOŚ.
Kto po stwierdzeniu zasadności udziału Polski w zagranicznym postępowaniu wykłada dokumenty do wglądu?,Regionalny dyrektor ochrony środowiska,Generalny Dyrektor Ochrony Środowiska,Starosta,Minister spraw zagranicznych,1,Art. 119 ust. 1 przewiduje to zadanie RDOŚ.
Jakim organem jest Generalny Dyrektor Ochrony Środowiska?,Organem samorządu województwa,Centralnym organem administracji rządowej,Organem gminy,Państwową osobą prawną,2,Art. 121 ust. 1 określa GDOŚ jako centralny organ administracji rządowej.
Komu podlega Generalny Dyrektor Ochrony Środowiska?,Prezydentowi RP,Marszałkowi Sejmu,Ministrowi właściwemu do spraw środowiska,Głównemu Inspektorowi Ochrony Środowiska,3,Art. 121 ust. 2 przewiduje podległość ministrowi właściwemu do spraw środowiska.
Przy pomocy jakiej jednostki GDOŚ wykonuje swoje zadania?,Głównego Inspektoratu Ochrony Środowiska,Państwowej Rady Ochrony Przyrody,Krajowej Administracji Skarbowej,Generalnej Dyrekcji Ochrony Środowiska,4,Art. 122 ust. 1 wskazuje Generalną Dyrekcję Ochrony Środowiska.
Jaki status ma Generalna Dyrekcja Ochrony Środowiska?,Państwowej jednostki budżetowej,Spółki Skarbu Państwa,Państwowej osoby prawnej,Jednostki samorządu terytorialnego,1,Art. 122 ust. 1 określa GDOŚ jako państwową jednostkę budżetową.
Jakim organem jest regionalny dyrektor ochrony środowiska?,Organem powiatu,Organem administracji rządowej niezespolonej,Organem samorządu województwa,Organem sądowym,2,Art. 123 ust. 1 określa RDOŚ jako organ administracji rządowej niezespolonej.
Na jakim obszarze co do zasady właściwy jest regionalny dyrektor ochrony środowiska?,Powiatu,Gminy,Województwa,Całego kraju,3,Art. 123 ust. 1 wskazuje obszar województwa.
Komu podlega regionalny dyrektor ochrony środowiska?,Wojewodzie,Marszałkowi województwa,Staroście,Generalnemu Dyrektorowi Ochrony Środowiska,4,Art. 123 ust. 1a przewiduje podległość RDOŚ Generalnemu Dyrektorowi Ochrony Środowiska.
W jakiej formie RDOŚ może w przypadkach określonych ustawą wydawać akty prawa miejscowego?,Zarządzeń,Rozporządzeń,Uchwał,Wyroków,1,Art. 123 ust. 2 przewiduje akty prawa miejscowego w formie zarządzeń.
Przy pomocy jakiej jednostki RDOŚ wykonuje swoje zadania?,Urzędu marszałkowskiego,Regionalnej dyrekcji ochrony środowiska,Starostwa powiatowego,Generalnego Inspektoratu Ochrony Środowiska,2,Art. 124 ust. 1 wskazuje regionalną dyrekcję ochrony środowiska.
Kto pomaga RDOŚ w wykonywaniu zadań w zakresie ochrony przyrody?,Wojewódzki inspektor sanitarny,Starosta,Regionalny konserwator przyrody będący zastępcą RDOŚ,Przewodniczący sejmiku,3,Art. 124 ust. 2 wskazuje regionalnego konserwatora przyrody.
Kto powołuje Generalnego Dyrektora Ochrony Środowiska?,Minister właściwy do spraw środowiska samodzielnie,Prezydent RP,Sejm,Prezes Rady Ministrów na wniosek ministra właściwego do spraw środowiska,4,Art. 126 ust. 1 przewiduje powołanie przez Prezesa Rady Ministrów na wniosek ministra.
Czy Generalny Dyrektor Ochrony Środowiska jest organem wyższego stopnia wobec RDOŚ w rozumieniu KPA?,Tak,Nie,Tylko w sprawach pracowniczych,Wyłącznie w sprawach finansowych,1,Art. 127 ust. 3 przyznaje GDOŚ funkcję organu wyższego stopnia wobec RDOŚ.
Kto prowadzi bazę danych o ocenach oddziaływania na środowisko?,Główny Inspektor Ochrony Środowiska,Generalny Dyrektor Ochrony Środowiska,Minister finansów,Każda gmina odrębnie,2,Art. 128 ust. 1 powierza prowadzenie bazy GDOŚ.
W jakim systemie prowadzona jest baza danych o ocenach oddziaływania na środowisko?,Wyłącznie w formie papierowej,Wyłącznie w księgach wieczystych,W systemie teleinformatycznym,W systemie podatkowym,3,Art. 128 ust. 2 przewiduje system teleinformatyczny.
W jakim terminie właściwe organy wprowadzają informacje i dane do bazy ocen oddziaływania na środowisko prowadzonej przez GDOŚ (art. 128)?,7 dni,14 dni,60 dni,30 dni od ich wytworzenia lub wpływu do organu,4,Art. 129 ust. 1 przewiduje termin 30 dni.
Kto powołuje regionalnych dyrektorów ochrony środowiska?,Generalny Dyrektor Ochrony Środowiska,Wojewoda,Minister właściwy do spraw środowiska,Marszałek województwa,1,Art. 130 ust. 1 powierza powołanie RDOŚ Generalnemu Dyrektorowi Ochrony Środowiska.
Jaki minimalny staż na stanowisku kierowniczym w ochronie środowiska jest wymagany od kandydata na RDOŚ?,1 rok,3 lata,2 lata,5 lat,2,Art. 130 ust. 1 wymaga co najmniej 3-letniego stażu.
Który kierunek studiów jest wprost wymieniony jako odpowiedni dla regionalnego konserwatora przyrody?,Prawo,Ekonomia,Architektura krajobrazu,Informatyka,3,Art. 130 ust. 3 wymienia m.in. architekturę krajobrazu.
Czy do zadań RDOŚ należy udział w strategicznych ocenach oddziaływania na środowisko?,Nie,Tylko na zlecenie wojewody,Wyłącznie dla dokumentów krajowych,Tak,4,Art. 131 ust. 1 pkt 1 wymienia udział w strategicznych OOŚ.
Czy do zadań RDOŚ należy ochrona i zarządzanie obszarami Natura 2000 w zakresie określonym ustawą o ochronie przyrody?,Tak,Nie,Tylko w parkach narodowych,Wyłącznie na terenach miejskich,1,Art. 131 ust. 1 pkt 4 przewiduje takie zadanie.
Czy RDOŚ współpracuje z organami jednostek samorządu terytorialnego w sprawach OOŚ i ochrony przyrody?,Nie,Tak,Tylko ze starostami,Wyłącznie z marszałkiem województwa,2,Art. 131 ust. 1 pkt 9 przewiduje taką współpracę.
Czym jest Krajowa Komisja do spraw Ocen Oddziaływania na Środowisko?,Organem odwoławczym od decyzji RDOŚ,Jednostką samorządu województwa,Organem opiniodawczo-doradczym Generalnego Dyrektora Ochrony Środowiska,Sądem administracyjnym,3,Art. 132 ust. 1 określa Krajową Komisję jako organ opiniodawczo-doradczy GDOŚ.
Ilu członków liczy Krajowa Komisja do spraw Ocen Oddziaływania na Środowisko?,Od 10 do 20,Od 20 do 40,Od 60 do 100,Od 40 do 60,4,Art. 132 ust. 2 przewiduje od 40 do 60 członków.
Kto powołuje członków Krajowej Komisji?,Generalny Dyrektor Ochrony Środowiska,Minister właściwy do spraw środowiska,Prezes Rady Ministrów,Sejm,1,Art. 132 ust. 2 powierza powołanie członków GDOŚ.
Czym są regionalne komisje do spraw ocen oddziaływania na środowisko?,Organami kontroli finansowej,Organami opiniodawczo-doradczymi regionalnych dyrektorów ochrony środowiska,Organami gmin,Jednostkami GIOŚ,2,Art. 133 ust. 1 określa regionalne komisje jako organy opiniodawczo-doradcze RDOŚ.
Ilu członków liczy regionalna komisja do spraw ocen oddziaływania na środowisko?,Od 5 do 10,Od 40 do 60,Od 20 do 40,Od 60 do 80,3,Art. 133 ust. 2 przewiduje od 20 do 40 członków.
Kto powołuje członków regionalnej komisji do spraw ocen oddziaływania na środowisko?,Generalny Dyrektor Ochrony Środowiska,Wojewoda,Marszałek województwa,Regionalny dyrektor ochrony środowiska,4,Art. 133 ust. 2 powierza powołanie członków właściwemu RDOŚ.
Jaki jest zakres kary pieniężnej za naruszenie warunków decyzji środowiskowej lub obowiązków ograniczających oddziaływanie przedsięwzięcia (art. 136a)?,Od 5000 zł do 1 000 000 zł,Od 100 zł do 5000 zł,Od 10 000 zł do 100 000 zł,Zawsze dokładnie 1 000 000 zł,1,Art. 136a ust. 1 przewiduje karę od 5000 zł do 1 000 000 zł.
